states,regions,latitude,longitude,dates,usage
Meghalaya,NER,25.57049217,91.8800142,2019-02-06,3.8
Mizoram,NER,23.71039899,92.72001461,2019-02-06,1.6
Nagaland,NER,25.6669979,94.11657019,2019-02-06,2.0
Tripura,NER,23.83540428,91.27999914,2019-02-06,3.1
Punjab,NR,31.51997398,75.98000281,2019-02-07,92.0
Haryana,NR,28.45000633,77.01999101,2019-02-07,96.2
Rajasthan,NR,26.44999921,74.63998124,2019-02-07,175.3
Delhi,NR,28.6699929,77.23000403,2019-02-07,60.3
UP,NR,27.59998069,78.05000565,2019-02-07,260.1
Uttarakhand,NR,30.32040895,78.05000565,2019-02-07,24.6
HP,NR,31.10002545,77.16659704,2019-02-07,17.0
J&K,NR,33.45,76.24,2019-02-07,41.3
Chandigarh,NR,30.71999697,76.78000565,2019-02-07,2.9
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-07,67.4
Gujarat,WR,22.2587,71.1924,2019-02-07,215.2
MP,WR,21.30039105,76.13001949,2019-02-07,154.6
Maharashtra,WR,19.25023195,73.16017493,2019-02-07,305.6
Goa,WR,15.491997,73.81800065,2019-02-07,10.1
DNH,WR,20.26657819,73.0166178,2019-02-07,11.4
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-07,152.8
Telangana,SR,18.1124,79.0193,2019-02-07,144.5
Karnataka,SR,12.57038129,76.91999711,2019-02-07,128.2
Kerala,SR,8.900372741,76.56999263,2019-02-07,64.6
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-07,201.2
Pondy,SR,11.93499371,79.83000037,2019-02-07,5.5
Bihar,ER,25.78541445,87.4799727,2019-02-07,79.7
Jharkhand,ER,23.80039349,86.41998572,2019-02-07,24.3
Odisha,ER,19.82042971,85.90001746,2019-02-07,76.6
West Bengal,ER,22.58039044,88.32994665,2019-02-07,115.4
Sikkim,ER,27.3333303,88.6166475,2019-02-07,0.7
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-07,2.2
Assam,NER,26.7499809,94.21666744,2019-02-07,21.5
Manipur,NER,24.79997072,93.95001705,2019-02-07,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-02-07,5.5
Mizoram,NER,23.71039899,92.72001461,2019-02-07,1.7
Nagaland,NER,25.6669979,94.11657019,2019-02-07,2.4
Tripura,NER,23.83540428,91.27999914,2019-02-07,4.2
Punjab,NR,31.51997398,75.98000281,2019-02-08,105.8
Haryana,NR,28.45000633,77.01999101,2019-02-08,105.6
Rajasthan,NR,26.44999921,74.63998124,2019-02-08,188.1
Delhi,NR,28.6699929,77.23000403,2019-02-08,63.2
UP,NR,27.59998069,78.05000565,2019-02-08,262.8
Uttarakhand,NR,30.32040895,78.05000565,2019-02-08,27.7
HP,NR,31.10002545,77.16659704,2019-02-08,21.5
J&K,NR,33.45,76.24,2019-02-08,42.9
Chandigarh,NR,30.71999697,76.78000565,2019-02-08,3.3
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-08,71.2
Gujarat,WR,22.2587,71.1924,2019-02-08,229.6
MP,WR,21.30039105,76.13001949,2019-02-08,156.5
Maharashtra,WR,19.25023195,73.16017493,2019-02-08,320.1
Goa,WR,15.491997,73.81800065,2019-02-08,10.1
DNH,WR,20.26657819,73.0166178,2019-02-08,14.0
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-08,156.7
Telangana,SR,18.1124,79.0193,2019-02-08,145.3
Karnataka,SR,12.57038129,76.91999711,2019-02-08,133.8
Kerala,SR,8.900372741,76.56999263,2019-02-08,64.4
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-08,218.6
Pondy,SR,11.93499371,79.83000037,2019-02-08,6.3
Bihar,ER,25.78541445,87.4799727,2019-02-08,80.0
Jharkhand,ER,23.80039349,86.41998572,2019-02-08,23.6
Odisha,ER,19.82042971,85.90001746,2019-02-08,77.4
West Bengal,ER,22.58039044,88.32994665,2019-02-08,115.1
Sikkim,ER,27.3333303,88.6166475,2019-02-08,0.7
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-08,2.0
Assam,NER,26.7499809,94.21666744,2019-02-08,24.3
Manipur,NER,24.79997072,93.95001705,2019-02-08,2.4
Meghalaya,NER,25.57049217,91.8800142,2019-02-08,5.7
Mizoram,NER,23.71039899,92.72001461,2019-02-08,1.7
Nagaland,NER,25.6669979,94.11657019,2019-02-08,2.0
Tripura,NER,23.83540428,91.27999914,2019-02-08,4.2
Punjab,NR,31.51997398,75.98000281,2019-02-09,110.1
Haryana,NR,28.45000633,77.01999101,2019-02-09,116.2
Rajasthan,NR,26.44999921,74.63998124,2019-02-09,201.3
Delhi,NR,28.6699929,77.23000403,2019-02-09,68.4
UP,NR,27.59998069,78.05000565,2019-02-09,268.2
Uttarakhand,NR,30.32040895,78.05000565,2019-02-09,30.9
HP,NR,31.10002545,77.16659704,2019-02-09,25.2
J&K,NR,33.45,76.24,2019-02-09,43.3
Chandigarh,NR,30.71999697,76.78000565,2019-02-09,3.6
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-09,74.0
Gujarat,WR,22.2587,71.1924,2019-02-09,234.9
MP,WR,21.30039105,76.13001949,2019-02-09,166.0
Maharashtra,WR,19.25023195,73.16017493,2019-02-09,350.4
Goa,WR,15.491997,73.81800065,2019-02-09,10.1
DNH,WR,20.26657819,73.0166178,2019-02-09,15.3
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-09,149.8
Telangana,SR,18.1124,79.0193,2019-02-09,145.8
Karnataka,SR,12.57038129,76.91999711,2019-02-09,136.9
Kerala,SR,8.900372741,76.56999263,2019-02-09,63.5
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-09,221.8
Pondy,SR,11.93499371,79.83000037,2019-02-09,6.0
Bihar,ER,25.78541445,87.4799727,2019-02-09,79.4
Jharkhand,ER,23.80039349,86.41998572,2019-02-09,22.7
Odisha,ER,19.82042971,85.90001746,2019-02-09,80.1
West Bengal,ER,22.58039044,88.32994665,2019-02-09,117.4
Sikkim,ER,27.3333303,88.6166475,2019-02-09,0.9
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-09,2.0
Assam,NER,26.7499809,94.21666744,2019-02-09,25.3
Manipur,NER,24.79997072,93.95001705,2019-02-09,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-02-09,5.8
Mizoram,NER,23.71039899,92.72001461,2019-02-09,1.8
Nagaland,NER,25.6669979,94.11657019,2019-02-09,2.0
Tripura,NER,23.83540428,91.27999914,2019-02-09,4.0
Punjab,NR,31.51997398,75.98000281,2019-02-10,112.4
Haryana,NR,28.45000633,77.01999101,2019-02-10,119.5
Rajasthan,NR,26.44999921,74.63998124,2019-02-10,209.7
Delhi,NR,28.6699929,77.23000403,2019-02-10,67.6
UP,NR,27.59998069,78.05000565,2019-02-10,273.2
Uttarakhand,NR,30.32040895,78.05000565,2019-02-10,31.9
HP,NR,31.10002545,77.16659704,2019-02-10,26.4
J&K,NR,33.45,76.24,2019-02-10,42.8
Chandigarh,NR,30.71999697,76.78000565,2019-02-10,3.6
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-10,75.1
Gujarat,WR,22.2587,71.1924,2019-02-10,261.5
MP,WR,21.30039105,76.13001949,2019-02-10,175.0
Maharashtra,WR,19.25023195,73.16017493,2019-02-10,360.6
Goa,WR,15.491997,73.81800065,2019-02-10,12.3
DNH,WR,20.26657819,73.0166178,2019-02-10,17.0
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-10,148.7
Telangana,SR,18.1124,79.0193,2019-02-10,148.6
Karnataka,SR,12.57038129,76.91999711,2019-02-10,146.8
Kerala,SR,8.900372741,76.56999263,2019-02-10,60.6
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-10,230.7
Pondy,SR,11.93499371,79.83000037,2019-02-10,6.1
Bihar,ER,25.78541445,87.4799727,2019-02-10,82.6
Jharkhand,ER,23.80039349,86.41998572,2019-02-10,23.8
Odisha,ER,19.82042971,85.90001746,2019-02-10,78.3
West Bengal,ER,22.58039044,88.32994665,2019-02-10,123.7
Sikkim,ER,27.3333303,88.6166475,2019-02-10,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-10,1.8
Assam,NER,26.7499809,94.21666744,2019-02-10,26.5
Manipur,NER,24.79997072,93.95001705,2019-02-10,2.4
Meghalaya,NER,25.57049217,91.8800142,2019-02-10,6.0
Mizoram,NER,23.71039899,92.72001461,2019-02-10,1.7
Nagaland,NER,25.6669979,94.11657019,2019-02-10,2.0
Tripura,NER,23.83540428,91.27999914,2019-02-10,3.8
Punjab,NR,31.51997398,75.98000281,2019-02-11,111.3
Haryana,NR,28.45000633,77.01999101,2019-02-11,122.5
Rajasthan,NR,26.44999921,74.63998124,2019-02-11,210.8
Delhi,NR,28.6699929,77.23000403,2019-02-11,69.0
UP,NR,27.59998069,78.05000565,2019-02-11,276.9
Uttarakhand,NR,30.32040895,78.05000565,2019-02-11,33.3
HP,NR,31.10002545,77.16659704,2019-02-11,27.1
J&K,NR,33.45,76.24,2019-02-11,44.2
Chandigarh,NR,30.71999697,76.78000565,2019-02-11,3.6
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-11,74.3
Gujarat,WR,22.2587,71.1924,2019-02-11,282.1
MP,WR,21.30039105,76.13001949,2019-02-11,180.7
Maharashtra,WR,19.25023195,73.16017493,2019-02-11,362.2
Goa,WR,15.491997,73.81800065,2019-02-11,12.3
DNH,WR,20.26657819,73.0166178,2019-02-11,17.2
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-11,153.8
Telangana,SR,18.1124,79.0193,2019-02-11,150.8
Karnataka,SR,12.57038129,76.91999711,2019-02-11,121.0
Kerala,SR,8.900372741,76.56999263,2019-02-11,62.3
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-11,245.8
Pondy,SR,11.93499371,79.83000037,2019-02-11,6.4
Bihar,ER,25.78541445,87.4799727,2019-02-11,82.7
Jharkhand,ER,23.80039349,86.41998572,2019-02-11,24.4
Odisha,ER,19.82042971,85.90001746,2019-02-11,83.3
West Bengal,ER,22.58039044,88.32994665,2019-02-11,124.9
Sikkim,ER,27.3333303,88.6166475,2019-02-11,1.2
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-11,2.1
Assam,NER,26.7499809,94.21666744,2019-02-11,25.9
Manipur,NER,24.79997072,93.95001705,2019-02-11,2.4
Meghalaya,NER,25.57049217,91.8800142,2019-02-11,5.8
Mizoram,NER,23.71039899,92.72001461,2019-02-11,1.6
Nagaland,NER,25.6669979,94.11657019,2019-02-11,2.3
Tripura,NER,23.83540428,91.27999914,2019-02-11,4.1
Punjab,NR,31.51997398,75.98000281,2019-02-12,108.5
Haryana,NR,28.45000633,77.01999101,2019-02-12,117.4
Rajasthan,NR,26.44999921,74.63998124,2019-02-12,205.0
Delhi,NR,28.6699929,77.23000403,2019-02-12,64.8
UP,NR,27.59998069,78.05000565,2019-02-12,281.4
Uttarakhand,NR,30.32040895,78.05000565,2019-02-12,33.2
HP,NR,31.10002545,77.16659704,2019-02-12,26.7
J&K,NR,33.45,76.24,2019-02-12,43.9
Chandigarh,NR,30.71999697,76.78000565,2019-02-12,3.5
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-12,74.1
Gujarat,WR,22.2587,71.1924,2019-02-12,278.5
MP,WR,21.30039105,76.13001949,2019-02-12,184.0
Maharashtra,WR,19.25023195,73.16017493,2019-02-12,360.6
Goa,WR,15.491997,73.81800065,2019-02-12,12.3
DNH,WR,20.26657819,73.0166178,2019-02-12,17.2
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-12,155.2
Telangana,SR,18.1124,79.0193,2019-02-12,150.5
Karnataka,SR,12.57038129,76.91999711,2019-02-12,142.8
Kerala,SR,8.900372741,76.56999263,2019-02-12,65.0
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-12,253.6
Pondy,SR,11.93499371,79.83000037,2019-02-12,6.8
Bihar,ER,25.78541445,87.4799727,2019-02-12,79.5
Jharkhand,ER,23.80039349,86.41998572,2019-02-12,23.9
Odisha,ER,19.82042971,85.90001746,2019-02-12,84.1
West Bengal,ER,22.58039044,88.32994665,2019-02-12,123.3
Sikkim,ER,27.3333303,88.6166475,2019-02-12,1.2
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-12,2.1
Assam,NER,26.7499809,94.21666744,2019-02-12,25.2
Manipur,NER,24.79997072,93.95001705,2019-02-12,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-02-12,5.8
Mizoram,NER,23.71039899,92.72001461,2019-02-12,1.9
Nagaland,NER,25.6669979,94.11657019,2019-02-12,2.1
Tripura,NER,23.83540428,91.27999914,2019-02-12,4.1
Punjab,NR,31.51997398,75.98000281,2019-02-13,98.8
Haryana,NR,28.45000633,77.01999101,2019-02-13,104.3
Rajasthan,NR,26.44999921,74.63998124,2019-02-13,202.4
Delhi,NR,28.6699929,77.23000403,2019-02-13,61.2
UP,NR,27.59998069,78.05000565,2019-02-13,268.8
Uttarakhand,NR,30.32040895,78.05000565,2019-02-13,30.3
HP,NR,31.10002545,77.16659704,2019-02-13,24.9
J&K,NR,33.45,76.24,2019-02-13,42.2
Chandigarh,NR,30.71999697,76.78000565,2019-02-13,3.1
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-13,74.4
Gujarat,WR,22.2587,71.1924,2019-02-13,261.9
MP,WR,21.30039105,76.13001949,2019-02-13,181.7
Maharashtra,WR,19.25023195,73.16017493,2019-02-13,357.5
Goa,WR,15.491997,73.81800065,2019-02-13,12.3
DNH,WR,20.26657819,73.0166178,2019-02-13,17.2
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-13,157.5
Telangana,SR,18.1124,79.0193,2019-02-13,147.6
Karnataka,SR,12.57038129,76.91999711,2019-02-13,141.7
Kerala,SR,8.900372741,76.56999263,2019-02-13,60.3
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-13,243.0
Pondy,SR,11.93499371,79.83000037,2019-02-13,6.3
Bihar,ER,25.78541445,87.4799727,2019-02-13,77.9
Jharkhand,ER,23.80039349,86.41998572,2019-02-13,23.6
Odisha,ER,19.82042971,85.90001746,2019-02-13,84.0
West Bengal,ER,22.58039044,88.32994665,2019-02-13,116.8
Sikkim,ER,27.3333303,88.6166475,2019-02-13,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-13,1.9
Assam,NER,26.7499809,94.21666744,2019-02-13,24.5
Manipur,NER,24.79997072,93.95001705,2019-02-13,2.6
Meghalaya,NER,25.57049217,91.8800142,2019-02-13,5.9
Mizoram,NER,23.71039899,92.72001461,2019-02-13,1.7
Nagaland,NER,25.6669979,94.11657019,2019-02-13,2.3
Tripura,NER,23.83540428,91.27999914,2019-02-13,4.1
Punjab,NR,31.51997398,75.98000281,2019-02-14,104.6
Haryana,NR,28.45000633,77.01999101,2019-02-14,118.9
Rajasthan,NR,26.44999921,74.63998124,2019-02-14,232.8
Delhi,NR,28.6699929,77.23000403,2019-02-14,71.8
UP,NR,27.59998069,78.05000565,2019-02-14,261.4
Uttarakhand,NR,30.32040895,78.05000565,2019-02-14,38.5
HP,NR,31.10002545,77.16659704,2019-02-14,29.6
J&K,NR,33.45,76.24,2019-02-14,48.5
Chandigarh,NR,30.71999697,76.78000565,2019-02-14,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-14,73.7
Gujarat,WR,22.2587,71.1924,2019-02-14,317.3
MP,WR,21.30039105,76.13001949,2019-02-14,228.3
Maharashtra,WR,19.25023195,73.16017493,2019-02-14,394.1
Goa,WR,15.491997,73.81800065,2019-02-14,9.8
DNH,WR,20.26657819,73.0166178,2019-02-14,17.9
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-14,149.2
Telangana,SR,18.1124,79.0193,2019-02-14,141.7
Karnataka,SR,12.57038129,76.91999711,2019-02-14,205.3
Kerala,SR,8.900372741,76.56999263,2019-02-14,68.8
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-14,295.0
Pondy,SR,11.93499371,79.83000037,2019-02-14,7.1
Bihar,ER,25.78541445,87.4799727,2019-02-14,72.2
Jharkhand,ER,23.80039349,86.41998572,2019-02-14,21.6
Odisha,ER,19.82042971,85.90001746,2019-02-14,82.3
West Bengal,ER,22.58039044,88.32994665,2019-02-14,124.4
Sikkim,ER,27.3333303,88.6166475,2019-02-14,1.3
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-14,2.2
Assam,NER,26.7499809,94.21666744,2019-02-14,23.9
Manipur,NER,24.79997072,93.95001705,2019-02-14,2.8
Meghalaya,NER,25.57049217,91.8800142,2019-02-14,6.3
Mizoram,NER,23.71039899,92.72001461,2019-02-14,1.9
Nagaland,NER,25.6669979,94.11657019,2019-02-14,2.1
Tripura,NER,23.83540428,91.27999914,2019-02-14,3.9
Punjab,NR,31.51997398,75.98000281,2019-02-15,109.7
Haryana,NR,28.45000633,77.01999101,2019-02-15,125.6
Rajasthan,NR,26.44999921,74.63998124,2019-02-15,236.7
Delhi,NR,28.6699929,77.23000403,2019-02-15,71.7
UP,NR,27.59998069,78.05000565,2019-02-15,264.7
Uttarakhand,NR,30.32040895,78.05000565,2019-02-15,38.6
HP,NR,31.10002545,77.16659704,2019-02-15,30.2
J&K,NR,33.45,76.24,2019-02-15,48.9
Chandigarh,NR,30.71999697,76.78000565,2019-02-15,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-15,75.1
Gujarat,WR,22.2587,71.1924,2019-02-15,322.3
MP,WR,21.30039105,76.13001949,2019-02-15,233.3
Maharashtra,WR,19.25023195,73.16017493,2019-02-15,399.5
Goa,WR,15.491997,73.81800065,2019-02-15,11.5
DNH,WR,20.26657819,73.0166178,2019-02-15,18.2
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-15,148.1
Telangana,SR,18.1124,79.0193,2019-02-15,157.0
Karnataka,SR,12.57038129,76.91999711,2019-02-15,204.5
Kerala,SR,8.900372741,76.56999263,2019-02-15,70.1
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-15,297.2
Pondy,SR,11.93499371,79.83000037,2019-02-15,7.3
Bihar,ER,25.78541445,87.4799727,2019-02-15,72.6
Jharkhand,ER,23.80039349,86.41998572,2019-02-15,23.9
Odisha,ER,19.82042971,85.90001746,2019-02-15,80.3
West Bengal,ER,22.58039044,88.32994665,2019-02-15,125.4
Sikkim,ER,27.3333303,88.6166475,2019-02-15,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-15,2.1
Assam,NER,26.7499809,94.21666744,2019-02-15,23.6
Manipur,NER,24.79997072,93.95001705,2019-02-15,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-02-15,6.3
Mizoram,NER,23.71039899,92.72001461,2019-02-15,1.8
Nagaland,NER,25.6669979,94.11657019,2019-02-15,2.2
Tripura,NER,23.83540428,91.27999914,2019-02-15,3.6
Punjab,NR,31.51997398,75.98000281,2019-02-16,112.8
Haryana,NR,28.45000633,77.01999101,2019-02-16,129.1
Rajasthan,NR,26.44999921,74.63998124,2019-02-16,237.0
Delhi,NR,28.6699929,77.23000403,2019-02-16,72.7
UP,NR,27.59998069,78.05000565,2019-02-16,272.5
Uttarakhand,NR,30.32040895,78.05000565,2019-02-16,40.2
HP,NR,31.10002545,77.16659704,2019-02-16,31.5
J&K,NR,33.45,76.24,2019-02-16,49.4
Chandigarh,NR,30.71999697,76.78000565,2019-02-16,4.0
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-16,76.1
Gujarat,WR,22.2587,71.1924,2019-02-16,321.8
MP,WR,21.30039105,76.13001949,2019-02-16,235.5
Maharashtra,WR,19.25023195,73.16017493,2019-02-16,405.3
Goa,WR,15.491997,73.81800065,2019-02-16,11.5
DNH,WR,20.26657819,73.0166178,2019-02-16,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-16,151.5
Telangana,SR,18.1124,79.0193,2019-02-16,162.6
Karnataka,SR,12.57038129,76.91999711,2019-02-16,211.1
Kerala,SR,8.900372741,76.56999263,2019-02-16,70.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-16,304.7
Pondy,SR,11.93499371,79.83000037,2019-02-16,7.2
Bihar,ER,25.78541445,87.4799727,2019-02-16,74.7
Jharkhand,ER,23.80039349,86.41998572,2019-02-16,24.3
Odisha,ER,19.82042971,85.90001746,2019-02-16,76.4
West Bengal,ER,22.58039044,88.32994665,2019-02-16,126.8
Sikkim,ER,27.3333303,88.6166475,2019-02-16,1.6
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-16,2.2
Assam,NER,26.7499809,94.21666744,2019-02-16,23.7
Manipur,NER,24.79997072,93.95001705,2019-02-16,2.9
Meghalaya,NER,25.57049217,91.8800142,2019-02-16,5.9
Mizoram,NER,23.71039899,92.72001461,2019-02-16,1.9
Nagaland,NER,25.6669979,94.11657019,2019-02-16,2.1
Tripura,NER,23.83540428,91.27999914,2019-02-16,3.7
Punjab,NR,31.51997398,75.98000281,2019-02-17,110.7
Haryana,NR,28.45000633,77.01999101,2019-02-17,126.4
Rajasthan,NR,26.44999921,74.63998124,2019-02-17,235.2
Delhi,NR,28.6699929,77.23000403,2019-02-17,71.6
UP,NR,27.59998069,78.05000565,2019-02-17,272.5
Uttarakhand,NR,30.32040895,78.05000565,2019-02-17,40.5
HP,NR,31.10002545,77.16659704,2019-02-17,30.9
J&K,NR,33.45,76.24,2019-02-17,47.3
Chandigarh,NR,30.71999697,76.78000565,2019-02-17,3.9
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-17,78.4
Gujarat,WR,22.2587,71.1924,2019-02-17,326.9
MP,WR,21.30039105,76.13001949,2019-02-17,237.0
Maharashtra,WR,19.25023195,73.16017493,2019-02-17,403.4
Goa,WR,15.491997,73.81800065,2019-02-17,11.5
DNH,WR,20.26657819,73.0166178,2019-02-17,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-17,150.5
Telangana,SR,18.1124,79.0193,2019-02-17,166.8
Karnataka,SR,12.57038129,76.91999711,2019-02-17,213.0
Kerala,SR,8.900372741,76.56999263,2019-02-17,70.8
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-17,301.5
Pondy,SR,11.93499371,79.83000037,2019-02-17,7.2
Bihar,ER,25.78541445,87.4799727,2019-02-17,73.6
Jharkhand,ER,23.80039349,86.41998572,2019-02-17,25.0
Odisha,ER,19.82042971,85.90001746,2019-02-17,75.6
West Bengal,ER,22.58039044,88.32994665,2019-02-17,128.6
Sikkim,ER,27.3333303,88.6166475,2019-02-17,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-17,2.2
Assam,NER,26.7499809,94.21666744,2019-02-17,23.5
Manipur,NER,24.79997072,93.95001705,2019-02-17,2.9
Meghalaya,NER,25.57049217,91.8800142,2019-02-17,6.2
Mizoram,NER,23.71039899,92.72001461,2019-02-17,1.9
Nagaland,NER,25.6669979,94.11657019,2019-02-17,2.2
Tripura,NER,23.83540428,91.27999914,2019-02-17,3.7
Punjab,NR,31.51997398,75.98000281,2019-02-18,109.5
Haryana,NR,28.45000633,77.01999101,2019-02-18,125.1
Rajasthan,NR,26.44999921,74.63998124,2019-02-18,236.6
Delhi,NR,28.6699929,77.23000403,2019-02-18,71.3
UP,NR,27.59998069,78.05000565,2019-02-18,268.0
Uttarakhand,NR,30.32040895,78.05000565,2019-02-18,35.7
HP,NR,31.10002545,77.16659704,2019-02-18,30.4
J&K,NR,33.45,76.24,2019-02-18,42.9
Chandigarh,NR,30.71999697,76.78000565,2019-02-18,3.9
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-18,78.8
Gujarat,WR,22.2587,71.1924,2019-02-18,322.6
MP,WR,21.30039105,76.13001949,2019-02-18,237.1
Maharashtra,WR,19.25023195,73.16017493,2019-02-18,399.3
Goa,WR,15.491997,73.81800065,2019-02-18,11.5
DNH,WR,20.26657819,73.0166178,2019-02-18,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-18,159.5
Telangana,SR,18.1124,79.0193,2019-02-18,167.8
Karnataka,SR,12.57038129,76.91999711,2019-02-18,217.6
Kerala,SR,8.900372741,76.56999263,2019-02-18,70.6
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-18,302.2
Pondy,SR,11.93499371,79.83000037,2019-02-18,7.1
Bihar,ER,25.78541445,87.4799727,2019-02-18,73.3
Jharkhand,ER,23.80039349,86.41998572,2019-02-18,24.8
Odisha,ER,19.82042971,85.90001746,2019-02-18,73.5
West Bengal,ER,22.58039044,88.32994665,2019-02-18,132.4
Sikkim,ER,27.3333303,88.6166475,2019-02-18,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-18,2.2
Assam,NER,26.7499809,94.21666744,2019-02-18,23.8
Manipur,NER,24.79997072,93.95001705,2019-02-18,2.7
Meghalaya,NER,25.57049217,91.8800142,2019-02-18,6.3
Mizoram,NER,23.71039899,92.72001461,2019-02-18,1.8
Nagaland,NER,25.6669979,94.11657019,2019-02-18,2.2
Tripura,NER,23.83540428,91.27999914,2019-02-18,3.8
Punjab,NR,31.51997398,75.98000281,2019-02-19,106.7
Haryana,NR,28.45000633,77.01999101,2019-02-19,127.3
Rajasthan,NR,26.44999921,74.63998124,2019-02-19,234.3
Delhi,NR,28.6699929,77.23000403,2019-02-19,69.2
UP,NR,27.59998069,78.05000565,2019-02-19,270.0
Uttarakhand,NR,30.32040895,78.05000565,2019-02-19,39.6
HP,NR,31.10002545,77.16659704,2019-02-19,29.8
J&K,NR,33.45,76.24,2019-02-19,49.4
Chandigarh,NR,30.71999697,76.78000565,2019-02-19,3.6
Chhattisgarh,WR,22.09042035,82.15998734,2019-02-19,78.1
Gujarat,WR,22.2587,71.1924,2019-02-19,319.9
MP,WR,21.30039105,76.13001949,2019-02-19,238.5
Maharashtra,WR,19.25023195,73.16017493,2019-02-19,403.5
Goa,WR,15.491997,73.81800065,2019-02-19,11.5
DNH,WR,20.26657819,73.0166178,2019-02-19,17.9
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-19,160.8
Telangana,SR,18.1124,79.0193,2019-02-19,169.7
Karnataka,SR,12.57038129,76.91999711,2019-02-19,212.9
Kerala,SR,8.900372741,76.56999263,2019-02-19,70.2
Tamil Nadu,SR,12.92038576,79.15004187,2019-02-19,294.6
Pondy,SR,11.93499371,79.83000037,2019-02-19,6.6
Bihar,ER,25.78541445,87.4799727,2019-02-19,74.1
Jharkhand,ER,23.80039349,86.41998572,2019-02-19,24.4
Odisha,ER,19.82042971,85.90001746,2019-02-19,74.4
West Bengal,ER,22.58039044,88.32994665,2019-02-19,127.1
Sikkim,ER,27.3333303,88.6166475,2019-02-19,1.4
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-19,2.2
Assam,NER,26.7499809,94.21666744,2019-02-19,23.9
Manipur,NER,24.79997072,93.95001705,2019-02-19,2.8
Meghalaya,NER,25.57049217,91.8800142,2019-02-19,6.2
Mizoram,NER,23.71039899,92.72001461,2019-02-19,1.9
Nagaland,NER,25.6669979,94.11657019,2019-02-19,2.2
Tripura,NER,23.83540428,91.27999914,2019-02-19,4.3
Punjab,NR,31.51997398,75.98000281,2019-02-20,101.5
Haryana,NR,28.45000633,77.01999101,2019-02-20,118.2
Rajasthan,NR,26.44999921,74.63998124,2019-02-20,232.0
Delhi,NR,28.6699929,77.23000403,2019-02-20,67.0
UP,NR,27.59998069,78.05000565,2019-02-20,264.3
Uttarakhand,NR,30.32040895,78.05000565,2019-02-20,36.6
HP,NR,31.10002545,77.16659704,2019-02-20,27.4
J&K,NR,33.45,76.24,2019-02-20,48.9
Chandigarh,NR,30.71999697,76.78000565,2019-02-20,3.3
